Name,Emotion,Lyrics,Prediction
,,疲倦的双眼带著期望,
,,今天只有残留的躯壳,
,,迎接光辉岁月,
,,风雨中抱紧自由,
,,一生经过彷徨的挣扎,
,,自信可改变未来,
,,问谁又能做到,
,,可否不分肤色的界线,
,,愿这土地里 不分你我高低,
,,缤纷色彩显出的美丽,
,,是因它没有 分开每种色彩,
,,年月把拥有变做失去,
,,疲倦的双眼带著期望,
,,今天只有残留的躯壳,
,,迎接光辉岁月,
,,风雨中抱紧自由,
,,一生经过彷徨的挣扎,
,,自信可改变未来,
,,问谁又能做到,
,,今天只有残留的躯壳,
,,迎接光辉岁月,
,,风雨中抱紧自由,
,,一生经过彷徨的挣扎,
,,自信可改变未来,
,,问谁又能做到,
,,OOH… AH…,
,,今天只有残留的躯壳,
,,迎接光辉岁月,
,,风雨中抱紧自由,
,,一生经过彷徨的挣扎,
,,自信可改变未来,
,,问谁又能做到,
,,OOH… AH…,
今天你要嫁给我,happy,春暖的花开带走冬天的感伤,happy
,,微风吹来浪漫的气息,
,,每一首情歌忽然充满意义,
,,我就在此刻突然见到你,
,,春暖的花香带走冬天的饥寒,
,,微风吹来意外的爱情,
,,鸟儿的高歌拉近我们距离,
,,我就在此刻突然爱上你,
,,听我说 手牵手 跟我一起走,
,,创造幸福的生活,
,,昨天你来不及 明天就会可惜,
,,今天嫁给我好吗冬天的忧伤结束秋天的孤单,
,,微风吹来苦辣的思念 (I’ MISSING YOU),
,,鸟儿的高歌唱着不要别离,
,,此刻我多么想要拥抱你,
,,听我说 手牵手 跟我一起走,
,,过着安定的生活,
,,昨天你来不及 明天就会可惜,
,,今天你要嫁给我,
海芋恋,happy,春天的来临,happy
,,悄悄地释出暧昧的气息,
,,在百花齐放的季节里,
,,你清新脱俗的有股诗意,
,,你在天南星,
,,高雅亮洁的好美丽,
,,哦~ 好美丽,
,,初夏的来临,
,,也溢出了俏皮的气息,
,,在暑气充斥的季节里,
,,你晶莹剔透地带着凉意,
,,你在天南星,
,,气质非凡的好有活力,
,,哦~ 好活力,
,,轻轻柔柔的想念,
,,在单恋的季节,
,,还记得湖畔曾与你相遇,
,,甜甜蜜蜜的暧昧,
,,在热恋的季节,
,,还记得你的笑容无比的甜,
,,初夏的来临,
,,也溢出了俏皮的气息,
,,在暑气充斥的季节里,
,,你晶莹剔透地带着凉意,
,,你在天南星,
,,气质非凡的好有活力,
,,哦~ 好活力,
,,轻轻柔柔的想念,
,,在单恋的季节,
,,还记得湖畔曾与你相遇,
,,甜甜蜜蜜的暧昧,
,,在热恋的季节,
,,还记得你的笑容无比的甜,
,,你迷人的魔力,
,,我如梦奇遇 爱不可思议,
,,唔 妙不可语 喔 我们在,
,,白白净净的湖面,
,,在海芋的季节,
,,开满着美若天仙的海芋,
,,缓缓慢慢的夏天,
,,在热恋的季节,
,,我坐在湖边开始轻描淡写,
,,我坐在湖边开始轻描淡写,
甜甜的,happy,我轻轻地尝一口 你说的爱我,happy
,,还在回味你给过的温柔,
,,我轻轻地尝一口 这香浓的诱惑,
,,我喜欢的样子你都有,
,,你爱过头 竟然答应我,
,,要给我蜂蜜口味的生活,
,,加一颗奶球 我搅拌害羞,
,,,
,,《甜甜的》曲谱 [5],
,,将甜度调高后再牵手,
,,你的爱太多 想随身带走,
,,想你的时候 就吃上一口,
,,我温热着 被呵护的感受,
,,却又担心降温了要求,
,,我尝着你话里面的奶油溜啊溜,
,,听过的每句话都很可口呦啊呦,
,,那些多余的画面全被跳过,
,,你的眼中只有我,
,,我轻轻地尝一口你说的爱我,
,,还在回味你给过的温柔,
,,我轻轻地尝一口 这香浓的诱惑,
,,我喜欢的样子你都有,
,,我轻轻地尝一口你说的爱我,
,,舍不得吃会微笑的糖果,
,,我轻轻地尝一口 份量虽然不多,
,,却将你的爱完全吸收,
,,我微笑着 让香味停留,
,,缘分走到这也赖着不走,
,,像夹心饼干 中间有甜头,
,,继续下去不需要理由,
,,我尝着你话里面的奶油溜啊溜,
,,听过的每句话都很可口呦啊呦,
,,那些多余的画面全被跳过,
,,你的眼中只有我,
,,我轻轻地尝一口 你说的爱我,
,,还在回味你给过的温柔,
,,我轻轻地尝一口这香浓的诱惑,
,,我喜欢的样子你都有,
,,我轻轻地尝一口 你说的爱我,
,,舍不得吃会微笑的糖果,
,,我轻轻地尝一口 份量虽然不多,
,,却将你的爱完全吸收,
,,我轻轻地尝一口 你说的爱我,
,,还在回味你给过的温柔,
,,我轻轻地尝一口味道香浓的说,
,,我喜欢的样子你都有,
,,我轻轻地尝一口 你说的爱我,
,,舍不得吃会微笑的糖果,
,,我轻轻地尝一口 份量虽然不多,
,,却将你的爱完全吸收,
青春纪念册,happy,合：给你我的心作纪念,happy
,,这份爱 任何时刻你打开都新鲜,
,,有我陪伴 多苦都变成甜,
,,睁开眼就看见永远,
,,给我你的心作纪念 我的梦,
,,有你的祝福才能够完全,
,,风浪再大 我也会勇往直前,
,,我们的爱 镶在青春的纪念册,
,,钧璨：去年夏天,
,,数着贝壳和浪花的海边,
,,传一：我们祈祷着明年的今天,
,,还能够保持这样无忧笑脸,
,,钧璨：你是夏天,
,,有海风吹过棕榈的蓝天,
,,少宗：让我忘记了眼泪有多咸,
,,庭伟：你一出现就是晴天,
,,传一：还想听你任性的说,
,,庭伟：要带我去环游世界,
,,就算整个世界都改变,
,,庭伟：也不改变 为你勇敢的自己,
,,合：给你我的心作纪念,
,,这份爱 任何时刻你打开都新鲜,
,,有我陪伴 多苦都变成甜,
,,睁开眼就看见永远,
,,给我你的心作纪念 我的梦,
,,有你的祝福才能够完全,
,,风浪再大 我也会勇往直前,
,,我们的爱 镶在青春的纪念册,
,,钧璨：一年以后,
,,我们踏上了各自的旅途,
,,东靖：虽然经历过不同的故事,
,,仍记得海边的约定,
,,庭伟：还想听你任性的说,
,,要带我去环游世界,
,,少宗：就算整个世界都改变,
,,传一：也不改变 为你勇敢的自己,
,,合：给你我的心作纪念 这份爱,
,,任何时刻你打开都新鲜,
,,有我陪伴 多苦都变成甜,
,,睁开眼就看见永远,
,,给我你的心作纪念 我的梦,
,,有你的祝福才能够完全,
,,风浪再大 我也会勇往直前,
,,我们的爱 镶在青春的纪念册,
,,合：给你我的心作纪念,
,,这份爱 任何时刻你打开都新鲜,
,,有我陪伴 多苦都变成甜,
,,睁开眼就看见永远,
,,给我你的心作纪念 我的梦,
,,有你的祝福才能够完全,
,,风浪再大 我也会勇往直前,
,,我们的爱 镶在青春的纪念册,
一个像夏天 一个像秋天,happy,第一次见面看你不太顺眼,sad
,,谁知道后来关系那么密切,
,,我们一个像夏天一个像秋天,
,,却总能把冬天变成了春天,
,,你拖我离开一场爱的风雪,
,,我背你逃出一次梦的断裂,
,,遇见一个人然后生命全改变,
,,原来不是恋爱才有的情节,
,,如果不是你 我不会相信,
,,朋友比情人还死心塌地,
,,就算我忙恋爱,
,,把你冷冻结冰,
,,你也不会恨我,
,,只是骂我几句,
,,如果不是你 我不会确定,
,,朋友比情人更懂得倾听,
,,我的弦外之音,
,,我的有口无心,
,,我离不开Darling更离不开你,
,,一个像夏天 一个像秋天,
,,你拖我离开一场爱的风雪,
,,我背你逃出一次梦的断裂,
,,遇见一个人然后生命全改变,
,,原来不是恋爱才有的情节,
,,如果不是你 我不会相信,
,,朋友比情人还死心塌地,
,,就算我忙恋爱,
,,把你冷冻结冰,
,,你也不会恨我,
,,只是骂我几句,
,,如果不是你 我不会确定,
,,朋友比情人更懂得倾听,
,,我的弦外之音,
,,我的有口无心,
,,我离不开Darling更离不开你,
,,你了解我所有得意的东西,
,,才常泼我冷水怕我忘形,
,,你知道我所有丢脸的事情,
,,却为我的美好形象保密,
,,如果不是你 我不会相信,
,,朋友比情人还死心塌地,
,,就算我忙恋爱,
,,把你冷冻结冰,
,,你也不会恨我,
,,只是骂我几句,
,,如果不是你 我不会确定,
,,朋友比情人更懂得倾听,
,,我的弦外之音,
,,我的有口无心,
,,我离不开Darling更离不开你,
,,一个像夏天 一个像秋天,
奔跑,happy,速度七十迈,happy
,,心情是自由自在,
,,希望终点是爱琴海,
,,全力奔跑 梦在彼岸,
,,,
,,我们想漫游世界,
,,看奇迹就在眼前,
,,等待夕阳染红了天,
,,肩并着肩 许下心愿,
,,,
,,随风奔跑自由是方向,
,,追逐雷和闪电的力量,
,,把浩瀚的海洋装进我胸膛,
,,即使再小的帆也能远航,
,,随风飞翔有梦作翅膀,
,,敢爱敢做勇敢闯一闯,
,,哪怕遇见再大的风险再大的浪,
,,也会有默契的目光,
,,,
,,速度七十迈,
,,心情是自由自在,
,,希望终点是爱琴海,
,,全力奔跑 梦在彼岸,
,,,
,,我们想漫游世界,
,,看奇迹就在眼前,
,,等待夕阳染红了天,
,,肩并着肩 许下心愿,
,,随风奔跑自由是方向,
,,追逐雷和闪电的力量,
,,把浩瀚的海洋装进我胸膛,
,,即使再小的帆也能远航,
,,随风飞翔有梦作翅膀,
,,敢爱敢做勇敢闯一闯,
,,哪怕遇见再大的风险再大的浪,
,,也会有默契的目光,
,,,
,,随风奔跑自由是方向,
,,追逐雷和闪电的力量,
,,把浩瀚的海洋装进我胸膛,
,,即使再小的帆也能远航,
,,随风飞翔有梦作翅膀,
,,敢爱敢做勇敢闯一闯,
,,哪怕遇见再大的风险再大的浪,
,,也会有默契的目光,
心如刀割,sad,我的天是灰色 我的心是蓝色 触摸著你的心 竟是透明的,sad
,,你的悠然自得 我却束手无策 我的心痛竟是 你的快乐,
,,其实我不想对你恋恋不捨 但什麽让我辗转反侧,
,,不觉我说著说著天就亮了 我的唇角嚐到了一种苦涩,
,,我是真的为你哭了 你是真的随他走了,
,,就在这一刻全世界 伤心角色 又多了我一个,
,,我是真的为你爱了 你是真的跟他走了,
,,能给的我全都给了 我都捨得 除了 让你知道 我心如刀割,
,,你的悠然自得 我却束手无策 我的心痛竟是 你的快乐,
,,其实我不想对你恋恋不捨 但什麽让我辗转反侧,
,,不觉我说著说著天就亮了 我的唇角嚐到了一种苦涩,
,,我是真的为你哭了 你是真的随他走了,
,,就在这一刻全世界 伤心角色 又多了我一个,
,,我是真的为你爱了 你是真的跟他走了,
,,能给的我全都给了 我都捨得 除了 让你知道 我心如刀割,
过火,sad,是否对妳承诺了太多 还是我原本给的就不够,sad
,,妳始终有千万种理由 我一直都跟随妳的感受,
,,让你疯 让你去放纵 以为妳 有天会感动,
,,关於流言 我装作无动 於衷,
,,直到所有的梦已破碎 才看见妳的眼泪和後悔,
,,我是多想再给你机会 多想问妳究竟 爱谁,
,,既然爱 难分是非 就别逃避 勇敢面对,
,,给了他的心 妳是否能够 要得回,
,,怎麽忍心怪妳 犯了错 是我给妳自由 过了火,
,,让你 更寂寞 才会陷入感情漩涡,
,,怎麽忍心让妳 受折磨 是我给妳自由 过了火,
,,如果 妳想飞 伤痛我揹,
你不知道的事,sad,蝴蝶眨几次眼睛 才学会飞行,sad
,,夜空灑满了星星 但几颗会落地,
,,我飞行 但你坠落之际,
,,很靠近 还听见呼吸,
,,对不起 我却没捉紧你,
,,你不知道我为什麽离开你 我坚持不能说放任你哭泣,
,,你的泪滴像倾盆大雨 碎了满地 在心里清晰,
,,你不知道我为什麽狠下心 盘旋在你看不见的高空里,
,,多的是 你不知道的事,
,,蝴蝶眨几次眼睛 才学会飞行,
,,夜空灑满了星星 但几颗会落地,
,,我飞行 但你坠落之际,
,,很靠近 还听见呼吸,
,,对不起 我却没捉紧你,
,,你不知道我为什麽离开你 我坚持不能说放任你哭泣,
,,你的泪滴像倾盆大雨 碎了满地 在心里清晰,
,,你不知道我为什麽狠下心 盘旋在你看不见的高空里,
,,多的是 你不知道的事,
,,我飞行 但你坠落之际,
,,你不知道我为什麽离开你 我坚持不能说放任你哭泣,
,,你的泪滴像倾盆大雨 碎了满地 在心里清晰,
,,你不知道我为什麽狠下心 盘旋在你看不见的高空里,
,,多的是 你不知道的事,
明明就,sad,糖果罐里好多颜色 微笑却不甜了,happy
,,你的某些快乐 在没有我的时刻,
,,中古世纪的城市里 我想就走到这,
,,海鸥不再眷恋大海 可以飞更远,
,,远方传来风 笛 我只在意有你的消息,
,,城堡为爱 守著秘密 而我为你 守著回忆,
,,明明就不习惯牵手 为何却主动把手勾,
,,你的心事太多 我不会戳破,
,,明明就他比较温柔 也许他能给你更多,
,,不用抉择 我会自动变朋友,
,,糖果罐里好多颜色 微笑却不甜了,
,,你的某些快乐 在没有我的时刻,
,,中古世纪的城市里 我想就走到这,
,,海鸥不再眷恋大海 可以飞更远,
,,远方传来风 笛 我只在意有你的消息,
,,城堡为爱 守著秘密 而我为你 守著回忆,
,,明明就不习惯牵手 为何却主动把手勾,
,,你的心事太多 我不会戳破,
,,明明就他比较温柔 也许他能给你更多,
,,不用抉择 我会自动变朋友,
,,明明就 明明就 明明就,
,,他比较温柔 也许他能给你更多,
,,不用抉择 我会自动变朋友,
倾城,sad,热情就算 熄灭了 分手这一晚 也重要,happy
,,甜言蜜语 谎话嬉笑 多给我一点 切勿缺少,
,,话题尽了 也不紧要 吻我至凄冷 的深宵,
,,繁华闹市 灯光普照 然而共你 已再没破晓,
,,红眼睛 幽幽的看著这孤城 如同苦笑 挤出的高兴,
,,全城为我 花光狠劲 浮华盛世 做分手佈景,
,,传说中 癡心的眼泪会倾城 霓虹熄了 世界渐冷清,
,,烟花会谢 笙歌会停 显得这故事尾声 更动听,
,,热情就算 熄灭了 分手这一晚 也重要,
,,甜言蜜语 谎话嬉笑 多给我一点 切勿缺少,
,,话题尽了 也不紧要 吻我至凄冷 的深宵,
,,繁华闹市 灯光普照 然而共你 已再没破晓,
,,红眼睛 幽幽的看著这孤城 如同苦笑 挤出的高兴,
,,全城为我 花光狠劲 浮华盛世 做分手佈景,
,,传说中 癡心的眼泪会倾城 霓虹熄了 世界渐冷清,
,,烟花会谢 笙歌会停 显得这故事尾声 更动听,
,,红眼睛 幽幽的看著这孤城 如同苦笑 挤出的高兴,
,,琼楼玉宇 倒了阵营 来营造这 绝世的风景,
,,传说中 癡心的眼泪会倾城 霓虹熄了 世界渐冷清,
,,烟花会谢 笙歌会停 显得这故事尾声 更动听,
最冷一天,sad,如果伤感 比快乐更深 但愿我一样伴你行,sad
,,当抬头迎 面总有密云 只要认得你再没有遗憾,
,,如果苦笑 比眼泪更真 但愿笑声 像一滴滴吻,
,,如明日好景 忽远忽近 仍愿抱著言份情没疑问,
,,任面前时代再低气温 多麽的庆幸 长夜无需一个人,
,,任未来存在哪个可能 和你亦是 最後那对变更,
,,唯愿在剩馀光线面前 留下两眼为见你一面,
,,仍然能相拥才不怕骤变 但怕思念,
,,唯愿会及时拥抱入眠 留在这世上最暖一面,
,,茫茫人海取暖渡过 最冷一天,
,,如果苦笑 比眼泪更真 但愿笑声 像一滴滴吻,
,,如明日好景 忽远忽近 仍愿抱著言份情没疑问,
,,任面前时代再低气温 多麽的庆幸 长夜无需一个人,
,,任未来存在哪个可能 和你亦是 最後那对变更,
,,唯愿在剩馀光线面前 留下两眼为见你一面,
,,仍然能相拥才不怕骤变 但怕思念,
,,唯愿会及时拥抱入眠 留在这世上最暖一面,
,,茫茫人海取暖渡过 最冷一天,
,,唯愿在剩馀光线面前 留下两眼为见你一面,
,,仍然能相拥才不怕骤变 但怕思念,
,,唯愿会及时拥抱入眠 留在这世上最暖一面,
,,茫茫人海取暖渡过 最冷一天,
我怀念的你,sad,曾经 因一点小意思 将争吵当玩意,sad
,,你拥抱过之後又没有事,
,,然後 竟勾痛著尾指 保證并无下次,
,,祈求原谅密度就像报时,
,,回想 想争吵一辈子,
,,轻率讲我愿意 也不要共你错过一次,
,,回味 当天隔著雨衣,
,,口吻未成熟的你说 你锺意被我锺意,
,,怀念任性坦率的你就如人间失踪,
,,遗憾今日受不起的我早不敢发梦,
,,我的哭和笑 彷彿似做人难得可放纵,
,,再不会为爱失控,
,,其实被我疼惜的你就如孩子懵懂,
,,凭著衝动什麽都讲也不管我不信,
,,到这天 彼此都不算蠢 率真的你在她怀中,
,,承诺在你口中请你记住轻重,
,,拿起 一双双的戏飞,
,,捨不得责备你 我只看尽你爱看的戏,
,,回味 一兴奋便跳起,
,,一挫败时便生我气 那一个任性的你,
,,怀念任性坦率的你就如人间失踪,
,,遗憾今日受不起的我早不敢发梦,
,,我的哭和笑 彷彿似做人难得可放纵,
,,再不会为爱失控,
,,其实被我疼惜的你就如孩子懵懂,
,,凭著衝动什麽都讲也不管我不信,
,,到这天 彼此都不算蠢 率真的你在她怀中,
,,承诺在你口中不要过份英勇,
,,当天的我在深爱中 不 忍将这结局猜中,
孤独患者,sad,欢笑声 欢呼声 炒热气氛 心却很冷,sad
,,聚光灯 是种蒙恩 我却不能 喊等一等,
,,我真佩服我 还能幽默 掉眼泪 时用笑掩过,
,,怕人看破 顾虑好多 不谈寂寞 我们就都快活,
,,我不唱声嘶力竭的 情歌,
,,不表示没有心碎的 时刻,
,,我不曾摊开伤口任 宰割 癒合,
,,就无人晓得 我内心挫折,
,,活像个孤独患者 自我拉扯,
,,外向的孤独患者 有何不可,
,,笑越大声 越是残忍 挤满体温 室温更冷,
,,万一关灯 空虚扰人 我却不能 喊等一等,
,,你说你爱我 却一直说 说我不该 窝在角落,
,,策划逃脱 这也有错 连我脆弱 的权利都掠夺,
,,我不唱声嘶力竭的 情歌,
,,不表示没有心碎的 时刻,
,,我不曾摊开伤口任宰割 癒合,
,,就无人晓得 我内心挫折,
,,活像个孤独患者 自我拉扯,
,,外向的孤独患者 有何不可,
,,我不要声嘶力竭的 情歌,
,,来提示我需要你的 时刻,
,,表面镇定并不是保 护色 反而,
,,是要你懂得 我不知为何,
,,活像个孤独患者 自我拉扯,
,,外向的孤独患者 需要认可,
给我一个理由忘记,sad,雨都停了 这片天 灰什麽呢,happy
,,我还记得 你说我们要快乐,
,,深夜里的 脚步声 总是刺耳,
,,害怕寂寞 就让狂欢的 城市陪我关灯,
,,只是哪怕周围再多人 感觉还是一个人,
,,每当我笑了 心却狠狠的哭著,
,,给我一个理由忘记 那麽爱我的你,
,,给我一个理由放弃 当时做的决定,
,,有些爱 越想抽离 却越更清晰 而最痛的距离,
,,是你不在 身边却在 我的 心里,
,,当我走在 去过的 每个地方,
,,总会听到 你那最自由的笑,
,,当我回到 一个人 住的地方,
,,最怕看到 冬天你最爱穿的那件外套,
,,只是哪怕周围再多人 感觉还是一个人,
,,每当我笑了 心却狠狠的哭著,
,,给我一个理由忘记 那麽爱我的你,
,,给我一个理由放弃 当时做的决定,
,,有些爱 越想抽离 却越更清晰 而最痛的距离,
,,是你不 在身边却在 我的 心里,
,,我找不到理由忘记 大雨里的别离,
,,我找不到理由放弃 我等你的决心,
,,有些爱 越想抽离 却越更清晰 而最痛的距离,
,,是你不 在身边却在 我的 心里 我想你,
消愁,sad,当你走进这欢乐场,sad
,,背上所有的梦与想,
,,各色的脸上各色的妆,
,,没人记得你的模样,
,,三巡酒过你在角落,
,,固执的唱着苦涩的歌,
,,听它在喧嚣里被淹没,
,,你拿起酒杯对自己说,
,,一杯敬朝阳 一杯敬月光,
,,唤醒我的向往 温柔了寒窗,
,,于是可以不回头地逆风飞翔,
,,不怕心头有雨 眼底有霜,
,,一杯敬故乡 一杯敬远方,
,,守着我的善良 催着我成长,
,,所以南北的路从此不再漫长,
,,灵魂不再无处安放,
,,躁动不安的座上客,
,,自以为是地表演着,
,,伪装着 舞蹈着 疲惫着,
,,你拿起酒杯对自己说,
,,一杯敬朝阳 一杯敬月光,
,,唤醒我的向往 温柔了寒窗,
,,于是可以不回头地逆风飞翔,
,,不怕心头有雨 眼底有霜,
,,一杯敬故乡 一杯敬远方,
,,守着我的善良 催着我成长,
,,所以南北的路从此不再漫长,
,,灵魂不再无处安放,
,,一杯敬明天 一杯敬过往,
,,支撑我的身体 厚重了肩膀,
,,虽然从不相信所谓山高水长,
,,人生苦短何必念念不忘,
,,一杯敬自由 一杯敬死亡,
,,宽恕我的平凡 驱散了迷惘,
,,好吧天亮之后总是潦草离场,
,,清醒的人最荒唐,
,,清醒的人最荒唐,
